FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,239,ECU,3,BOG,11,8,618,1,198,1,8,2,603129000,11,11,U,7200,236,136,1272,5079770,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,1,7117190000,11,33,KG,343,350,343,43915,176623391,34900.21,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,3004902900,11,33,KG,1787,1897,1787,15021,60267114,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,3304100000,11,33,KG,25,33,25,1277,5124779,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,3304200000,11,33,KG,31,41,31,1595,6400718,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,3304300000,11,33,KG,14,19,14,737,2956434,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,3304910000,11,33,KG,28,37,28,1450,5819462,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,3304990000,11,33,KG,4,5,4,199,799563,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,1,2,7117190000,11,33,KG,8,8,8,996,3910884,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,2,2,603199090,25,11,U,18180,400,383,2545,10297447,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,2,2,604200000,25,33,KG,12,12,12,69,280416,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,8,1,7007210000,11,11,U,125,2802,2493,61283,246251441,42993.46,4844.0,195.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,8,2,602909000,11,11,U,55000,1043,932,5665,22647197,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,8,2,603193000,11,11,U,96,62,55,298,1217023,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,8,2,3004101000,11,33,KG,1541,1541,1541,81621,327482868,0.0,2559.8,0.0,0.0
2309,3,239,ECU,3,BOG,11,9,169,1,198,1,8,2,3004321900,25,33,KG,291,365,291,14430,56683902,0.0,0.0,0.0,0.0
